Comuna,Tasa,Fecha
General Lagos,123.45679012345678,2021-02-22
General Lagos,0.0,2021-02-26
General Lagos,0.0,2021-03-01
General Lagos,0.0,2021-03-05
General Lagos,0.0,2021-03-08
General Lagos,0.0,2021-03-12
General Lagos,0.0,2021-03-15
General Lagos,0.0,2021-03-19
General Lagos,0.0,2021-03-22
General Lagos,0.0,2021-03-26
General Lagos,0.0,2021-03-29
General Lagos,0.0,2021-04-02
General Lagos,0.0,2021-04-05
General Lagos,123.45679012345678,2021-04-09
General Lagos,246.91358024691357,2021-04-12
General Lagos,493.82716049382714,2021-04-16
General Lagos,617.283950617284,2021-04-19
General Lagos,617.283950617284,2021-04-23
General Lagos,370.3703703703704,2021-04-26
General Lagos,246.91358024691357,2021-04-30
General Lagos,370.3703703703704,2021-05-03
General Lagos,246.91358024691357,2021-05-07
General Lagos,123.45679012345678,2021-05-10
General Lagos,123.45679012345678,2021-05-14
General Lagos,123.45679012345678,2021-05-17
General Lagos,123.45679012345678,2021-05-21
General Lagos,123.45679012345678,2021-05-24
General Lagos,0.0,2021-05-28
General Lagos,0.0,2021-05-31
General Lagos,0.0,2021-06-04
General Lagos,0.0,2021-06-07
General Lagos,0.0,2021-06-11
General Lagos,0.0,2021-06-14
General Lagos,0.0,2021-06-18
General Lagos,123.45679012345678,2021-06-21
General Lagos,123.45679012345678,2021-06-25
General Lagos,246.91358024691357,2021-06-28
General Lagos,740.7407407407408,2021-07-02
General Lagos,864.1975308641975,2021-07-05
General Lagos,246.91358024691357,2021-07-09
General Lagos,0.0,2021-07-12
General Lagos,0.0,2021-07-16
General Lagos,0.0,2021-07-19
General Lagos,0.0,2021-07-23
General Lagos,0.0,2021-07-26
General Lagos,0.0,2021-07-30
General Lagos,0.0,2021-08-02
General Lagos,0.0,2021-08-06
General Lagos,0.0,2021-08-09
General Lagos,0.0,2021-08-13
General Lagos,0.0,2021-08-16
Putre,0.0,2020-04-13
Putre,0.0,2020-04-15
Putre,0.0,2020-04-17
Putre,0.0,2020-04-20
Putre,0.0,2020-04-24
Putre,0.0,2020-04-27
Putre,0.0,2020-05-01
Putre,0.0,2020-05-04
Putre,0.0,2020-05-08
Putre,0.0,2020-05-11
Putre,0.0,2020-05-15
Putre,0.0,2020-05-18
Putre,0.0,2020-05-22
Putre,0.0,2020-05-25
Putre,0.0,2020-05-29
Putre,0.0,2020-06-01
Putre,0.0,2020-06-05
Putre,39.761431411530815,2020-06-08
Putre,79.52286282306163,2020-06-12
Putre,119.28429423459245,2020-06-15
Putre,318.0914512922465,2020-06-19
Putre,278.3300198807157,2020-06-23
Putre,39.761431411530815,2020-06-28
Putre,39.761431411530815,2020-07-01
Putre,39.761431411530815,2020-07-05
Putre,596.4214711729622,2020-07-10
Putre,675.9443339960238,2020-07-13
Putre,596.4214711729622,2020-07-17
Putre,477.1371769383698,2020-07-20
Putre,278.3300198807157,2020-07-24
Putre,278.3300198807157,2020-07-27
Putre,119.28429423459245,2020-07-31
Putre,39.761431411530815,2020-08-03
Putre,397.6143141153081,2020-08-07
Putre,596.4214711729622,2020-08-10
Putre,357.85288270377737,2020-08-14
Putre,238.5685884691849,2020-08-17
Putre,39.761431411530815,2020-08-21
Putre,79.52286282306163,2020-08-24
Putre,79.52286282306163,2020-08-28
Putre,119.28429423459245,2020-08-31
Putre,198.80715705765405,2020-09-04
Putre,318.0914512922465,2020-09-07
Putre,318.0914512922465,2020-09-11
Putre,278.3300198807157,2020-09-14
Putre,159.04572564612326,2020-09-18
Putre,79.52286282306163,2020-09-21
Putre,119.28429423459245,2020-09-25
Putre,238.5685884691849,2020-09-28
Putre,79.52286282306163,2020-10-02
Putre,238.5685884691849,2020-10-05
Putre,119.28429423459245,2020-10-09
Putre,119.28429423459245,2020-10-12
Putre,0.0,2020-10-16
Putre,0.0,2020-10-19
Putre,39.761431411530815,2020-10-24
Putre,79.52286282306163,2020-10-26
Putre,39.761431411530815,2020-10-30
Putre,39.761431411530815,2020-11-02
Putre,0.0,2020-11-06
Putre,0.0,2020-11-09
Putre,0.0,2020-11-13
Putre,0.0,2020-11-16
Putre,39.761431411530815,2020-11-20
Putre,39.761431411530815,2020-11-23
Putre,39.761431411530815,2020-11-27
Putre,0.0,2020-11-30
Putre,0.0,2020-12-04
Putre,0.0,2020-12-07
Putre,0.0,2020-12-11
Putre,0.0,2020-12-14
Putre,0.0,2020-12-18
Putre,0.0,2020-12-21
Putre,0.0,2020-12-25
Putre,0.0,2020-12-28
Putre,0.0,2021-01-01
Putre,0.0,2021-01-04
Putre,0.0,2021-01-08
Putre,79.52286282306163,2021-01-11
Putre,238.5685884691849,2021-01-15
Putre,437.37574552683895,2021-01-18
Putre,238.5685884691849,2021-01-22
Putre,119.28429423459245,2021-01-25
Putre,437.37574552683895,2021-01-29
Putre,516.8986083499005,2021-02-01
Putre,556.6600397614314,2021-02-05
Putre,596.4214711729622,2021-02-08
Putre,516.8986083499005,2021-02-12
